"","sex","age","education_level","institution_type","it_student","location","load_shedding","financial_condition","internet_type","network_type","class_duration","self_lms","device","adaptivity_level","outcome","sex_indicator","financial"
"1","Boy","21-25","University","Non Government","No","Yes","Low","Mid","Wifi","4G","3-6","No","Tab","Moderate","2",1,"2"
"2","Girl","21-25","University","Non Government","No","Yes","High","Mid","Mobile Data","4G","1-3","Yes","Mobile","Moderate","2",0,"2"
"3","Girl","16-20","College","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Moderate","2",0,"2"
"4","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"5","Girl","16-20","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","0","No","Mobile","Low","1",0,"1"
"6","Boy","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"7","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Wifi","4G","0","No","Mobile","Low","1",1,"2"
"8","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Moderate","2",1,"2"
"9","Boy","16-20","College","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",1,"2"
"10","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",1,"2"
"11","Girl","16-20","University","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"12","Girl","16-20","College","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"13","Boy","11-15","School","Non Government","Yes","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",1,"2"
"14","Girl","16-20","College","Non Government","No","No","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"15","Girl","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Moderate","2",0,"1"
"16","Boy","11-15","School","Non Government","No","Yes","High","Poor","Wifi","4G","1-3","No","Mobile","Low","1",1,"1"
"17","Girl","26-30","University","Government","Yes","Yes","Low","Poor","Mobile Data","4G","0","No","Computer","Low","1",0,"1"
"18","Girl","21-25","University","Government","No","No","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"19","Girl","16-20","College","Non Government","No","Yes","High","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"20","Girl","16-20","College","Non Government","No","Yes","High","Mid","Wifi","4G","3-6","No","Mobile","Moderate","2",0,"2"
"21","Girl","6-10","School","Non Government","No","Yes","Low","Rich","Wifi","4G","1-3","No","Mobile","High","3",0,"3"
"22","Boy","6-10","School","Government","No","Yes","Low","Mid","Mobile Data","4G","0","No","Mobile","Low","1",1,"2"
"23","Girl","16-20","College","Non Government","No","No","Low","Mid","Mobile Data","3G","3-6","Yes","Mobile","Low","1",0,"2"
"24","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",0,"2"
"25","Boy","16-20","College","Government","No","Yes","Low","Mid","Wifi","4G","3-6","No","Mobile","Moderate","2",1,"2"
"26","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"27","Girl","1-5","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"28","Boy","26-30","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","3-6","No","Computer","Moderate","2",1,"2"
"29","Girl","1-5","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"30","Girl","16-20","College","Non Government","No","Yes","High","Mid","Wifi","4G","3-6","No","Mobile","Moderate","2",0,"2"
"31","Girl","6-10","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",0,"2"
"32","Girl","16-20","College","Non Government","No","No","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Low","1",0,"2"
"33","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"34","Girl","16-20","College","Non Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Moderate","2",0,"2"
"35","Boy","11-15","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","Low","1",1,"1"
"36","Girl","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","3-6","Yes","Mobile","Moderate","2",0,"2"
"37","Girl","21-25","College","Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"38","Girl","6-10","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","1-3","No","Mobile","High","3",0,"1"
"39","Girl","26-30","University","Government","No","No","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Low","1",0,"1"
"40","Girl","11-15","School","Government","No","Yes","Low","Mid","Wifi","3G","1-3","No","Mobile","Low","1",0,"2"
"41","Boy","21-25","University","Non Government","No","Yes","Low","Mid","Wifi","4G","3-6","Yes","Computer","Moderate","2",1,"2"
"42","Girl","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","1-3","Yes","Mobile","Moderate","2",0,"2"
"43","Girl","16-20","School","Non Government","No","Yes","Low","Poor","Mobile Data","3G","0","No","Mobile","Low","1",0,"1"
"44","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"45","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","3-6","Yes","Computer","Low","1",1,"2"
"46","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","4G","1-3","No","Computer","Moderate","2",1,"2"
"47","Girl","1-5","School","Non Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"1"
"48","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",0,"2"
"49","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"50","Boy","21-25","University","Non Government","Yes","Yes","Low","Mid","Wifi","3G","3-6","Yes","Computer","Low","1",1,"2"
"51","Boy","16-20","College","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",1,"2"
"52","Girl","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"53","Boy","21-25","University","Non Government","Yes","Yes","High","Mid","Mobile Data","3G","3-6","Yes","Mobile","Moderate","2",1,"2"
"54","Boy","26-30","University","Government","Yes","No","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"1"
"55","Boy","1-5","School","Non Government","No","Yes","Low","Poor","Mobile Data","4G","1-3","No","Mobile","Low","1",1,"1"
"56","Girl","1-5","School","Non Government","No","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",0,"2"
"57","Boy","21-25","University","Government","No","Yes","Low","Mid","Mobile Data","4G","0","No","Mobile","Low","1",1,"2"
"58","Girl","16-20","University","Non Government","Yes","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Low","1",0,"2"
"59","Girl","11-15","School","Non Government","No","No","High","Mid","Mobile Data","3G","0","No","Mobile","Low","1",0,"2"
"60","Boy","16-20","School","Government","No","No","Low","Poor","Mobile Data","3G","0","No","Mobile","Low","1",1,"1"
"61","Boy","21-25","University","Non Government","No","Yes","Low","Mid","Wifi","4G","3-6","No","Mobile","Moderate","2",1,"2"
"62","Boy","21-25","College","Government","No","No","Low","Mid","Mobile Data","4G","0","No","Mobile","Low","1",1,"2"
"63","Girl","16-20","College","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","Yes","Mobile","Moderate","2",0,"2"
"64","Boy","11-15","School","Non Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"65","Boy","11-15","School","Non Government","No","Yes","High","Poor","Wifi","4G","1-3","No","Mobile","Low","1",1,"1"
"66","Boy","26-30","University","Government","No","No","Low","Mid","Mobile Data","4G","1-3","No","Mobile","High","3",1,"2"
"67","Boy","11-15","School","Non Government","No","Yes","Low","Mid","Mobile Data","3G","1-3","No","Mobile","Moderate","2",1,"2"
"68","Girl","6-10","School","Government","No","No","Low","Mid","Mobile Data","3G","0","No","Mobile","Low","1",0,"2"
"69","Girl","11-15","School","Government","No","Yes","Low","Mid","Wifi","4G","1-3","No","Mobile","Low","1",0,"2"
"70","Boy","11-15","School","Non Government","Yes","Yes","Low","Mid","Mobile Data","4G","1-3","No","Mobile","Moderate","2",1,"2"
"71","Boy","21-25","College","Government","No","No","High","Poor","Mobile Data","3G","1-3","Yes","Mobile","Low","1",1,"1"
"72","Girl","16-20","College","Government","No","No","Low","Mid","Mobile Data","4G","0","No","Mobile","Low","1",0,"2"
"73","Boy","21-25","University","Government","No","Yes","Low","Mid","Mobile Data","4G","0","No","Mobile","Low","1",1,"2"
